PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSITION
1630639,A.J. Lawson,TOR,24.0,26,18.7,9.1,3.3,1.2,0.5,0.2,0.6,0.421,0.327,0.683,0.8,2.5,109.7,111.1,-1.4,0.093,2.07,11.7,0.036,0.128,0.08,5.7,0.508,0.542,0.189,103.71,0.082,
1631260,AJ Green,MIL,25.0,73,22.7,7.4,2.4,1.5,0.5,0.1,0.5,0.429,0.427,0.815,0.2,2.1,114.0,107.6,6.4,0.086,2.7,18.6,0.011,0.087,0.051,6.9,0.612,0.621,0.123,100.84,0.058,
1642358,AJ Johnson,WAS,20.0,29,22.0,7.6,2.0,2.6,0.4,0.1,1.2,0.385,0.267,0.865,0.3,1.8,104.1,115.6,-11.5,0.178,2.17,22.3,0.011,0.073,0.042,10.3,0.441,0.48,0.173,100.83,0.053,
203932,Aaron Gordon,DEN,29.0,51,28.4,14.7,4.8,3.2,0.5,0.3,1.4,0.531,0.436,0.81,1.6,3.3,122.5,113.0,9.5,0.143,2.25,20.1,0.06,0.109,0.086,9.0,0.607,0.65,0.186,101.64,0.104,
1628988,Aaron Holiday,HOU,28.0,62,12.8,5.5,1.3,1.3,0.3,0.2,0.6,0.437,0.398,0.829,0.2,1.0,110.3,103.6,6.7,0.142,2.24,20.5,0.015,0.073,0.044,9.1,0.571,0.594,0.162,103.09,0.082,
1630174,Aaron Nesmith,IND,25.0,45,24.9,12.0,4.0,1.2,0.8,0.4,0.8,0.507,0.431,0.913,0.8,3.1,120.1,111.5,8.5,0.063,1.46,10.8,0.034,0.118,0.078,7.4,0.617,0.653,0.171,101.64,0.087,
1630598,Aaron Wiggins,OKC,26.0,76,22.9,12.0,3.9,1.8,0.8,0.2,0.9,0.488,0.383,0.831,1.1,2.8,120.7,106.6,14.2,0.102,1.94,13.8,0.046,0.113,0.081,7.1,0.577,0.596,0.2,101.91,0.105,
1641745,Adam Flagler,OKC,25.0,37,5.5,1.8,0.7,0.3,0.2,0.1,0.1,0.26,0.194,0.5,0.2,0.5,99.1,96.7,2.3,0.094,3.0,10.6,0.029,0.086,0.057,3.5,0.333,0.335,0.207,100.16,0.025,
1641737,Adem Bona,PHI,22.0,58,15.6,5.8,4.2,0.5,0.4,1.2,1.1,0.703,0.0,0.67,1.6,2.6,107.4,114.0,-6.6,0.043,0.44,8.4,0.097,0.164,0.13,18.9,0.703,0.714,0.135,100.51,0.093,
1642349,Ajay Mitchell,OKC,23.0,36,16.6,6.5,1.9,1.8,0.7,0.1,0.8,0.495,0.383,0.829,0.5,1.4,110.0,100.2,9.7,0.153,2.21,22.1,0.028,0.08,0.053,10.0,0.557,0.587,0.159,100.63,0.082,
